,Region,District,LF Lymphedema Management,Oncho Round 1,SCH School Age Children,SCH High Risk Adult
0,Boke,Boke,,,154757.12,
1,Boke,Fria,,,33262.6,
2,Boke,Gaoual,190313.6,190313.59999999998,66609.76,123703.84
3,Boke,Koundara,127681.6,127681.59999999999,44688.56,82993.04
4,Conakry,Dixinn,,,,
5,Conakry,Kaloum,,,,
6,Conakry,Matam,,,,
7,Conakry,Matoto,,,229135.2,425536.8
8,Conakry,Ratoma,,,224489.44,416908.96
9,Faranah,Dabola,178072.80000000002,178072.80000000002,62325.48,
10,Faranah,Dinguiraye,193081.6,193081.59999999998,67578.56,125503.04
11,Faranah,Faranah,275417.60000000003,275417.6,96396.16,179021.44
12,Faranah,Kissidougou,278477.60000000003,278477.6,97467.16,181010.44
13,Kankan,Kankan,463598.4,463598.4,162259.44,301338.96
14,Kankan,Kerouane,204036.0,204036.0,71412.6,132623.4
15,Kankan,Kouroussa,263871.2,263871.2,92354.92,171516.28
16,Kankan,Mandiana,330273.60000000003,330273.6,115595.76,
17,Kankan,Siguiri,666113.6000000001,666113.6000000001,233139.76,432973.84
18,Kindia,Coyah,,,90651.4,
19,Kindia,Dubreka,,,113527.4,
20,Kindia,Forecariah,238611.2,238611.2,83513.92,
21,Kindia,Kindia,431536.0,431536.0,151037.6,280498.4
22,Kindia,Telimele,279506.4,,97827.24,
23,Labe,Koubia,,98081.6,34328.56,63753.04
24,Labe,Labe,,,109339.44,
25,Labe,Lelouma,160133.6,160133.6,56046.76,104086.84
26,Labe,Mali,282716.0,282716.0,98950.6,
27,Labe,Tougue,122183.20000000001,122183.20000000001,,
28,Mamou,Dalaba,131341.6,,,
29,Mamou,Mamou,313421.60000000003,313421.6,109697.56,203724.04
30,Mamou,Pita,273250.4,,,
31,N'Zerekore,Beyla,320583.2,320583.19999999995,112204.12,208379.08
32,N'Zerekore,Gueckedou,,285520.0,99932.0,185588.0
33,N'Zerekore,Lola,,168666.4,59033.24,109633.16
34,N'Zerekore,Macenta,273732.0,273732.0,95806.2,177925.8
35,N'Zerekore,N'Zerekore,,389714.4,136400.04,253314.36
36,N'Zerekore,Yomou,,112365.6,39327.96,73037.64
